dialogue_id,conversation_transcript,label,likert_evaluation,hal16_score,likert_evaluation_mean,cv,elapsed_time
8,"I: hi there , how are you tonight ?
W: great , i just finished a huge steak how are you ?
I: i am good , drinking some scotch .
W: i am major meat eater to build muscles
I: oh , i like meat ok .
W: scotch goes good with meat
I: scotch goes good with anything lol .
W: i have a brother who likes scotch
I: i am an only child .
W: i have just the one brother and 3 sisters
I: do you have any pets ? i am scared of dogs .
W: i have a cat and a dog you would not be scared of my dog
I: what do you do for a living ?
W: i am a secretary like my mom hard living and you ?
I: i am an author . i write short stories .
W: do you want to write a story about a major meat eating bodybuilder ?
",1,"[5, 1, 1, 5, 5, 5, 2, 5, 2, 1, 5, 1, 3, 4, 1, 5]",4.4277243255,3.1875,0.3449301372,19.3182110786
43,"I: hello how are you today
W: i am well . how are you ?
I: i am doing great just got back from the beach
W: that is great . i live far from the beach .
I: i am very lucky we live beside the beach . what do you do for a living
W: i keep busy with my seven children .
I: wow that much have taken some adjusting i teach kindergarten
W: do you reach mysteries to your children ? they are my favorite type of novel .
I: no they are to young for that . i like mystery novels tho
W: do you teach them about animals , as i grew up on a farm .
I: yeah i teach them about farm animals and pets
W: great , how about colors ? my favorite is blue
I: yeah they learn all about colors and the alphabet .
W: great , anything else you can tell me about yourself ?
I: i have a mustang convertible and married with a son
W: how old is your son ?
",1,"[5, 1, 1, 5, 5, 5, 3, 5, 1, 1, 5, 1, 3, 5, 1, 5]",3.831295375,3.25,0.3257904187,19.3233318329
37,"I: hey there like to workout ?
W: not really . i enjoy video games and reading mostly . do you workout ?
I: yes i do all the time
W: are you a bodybuilder ? what do you do for a living ?
I: no no body builder but i am a vegan
W: that is interesting . i am also a vegan and a vet . i love animals .
I: really wow , any siblings ? all i have is my dad an bro
W: a sister in california , where we grew up . i am in florida now . you ?
I: i like to listen to trap queen an gucci do you ?
W: yes ! i rap on the weekends myself too . my friends like country , boo .
I: really ? going to watch gucci get married tomorrow ? 10 17
W: i did not even know gucci was getting married . who to ?
I: keisha they are so cute together
W: do they have any kids together ?
I: no not yet i can not wait till they do
W: i bet they will be so cute . and their names will be off the hook .
",1,"[5, 1, 1, 5, 5, 5, 3, 5, 2, 5, 5, 3, 2, 5, 1, 5]",3.2254370605,3.625,0.2477158418,24.1717779636
15,"I: hi here i am in sunny california . where do you live ?
W: i live in florida but my family is from toronto
I: oh i see . moving to the east coast next year to the big apple .
W: cool . how old are you ?
I: now i am 23 and acting is my profession . also do a little runway modeling .
W: nice . i am 16 and i would like to be in the army
I: what do you do for fun ? in california most do surfing .
W: i like making websites and i drink a lot of lipton
I: you are too young for the army better look elsewhere .
W: what type of job should i look at ?
I: websites are good for income , too . do you skate ?
W: i do ! i play ice hockey sometimes
I: i skate on ice and on the roller rinks too .
W: can you do lots of tricks ?
I: the only trick i can not do is sing .
W: can you play any instruments ?
",1,"[5, 1, 1, 5, 4, 5, 4, 5, 1, 3, 5, 1, 1, 5, 1, 5]",1.9544465415,3.25,0.290957187,24.4903604984
48,"I: hi there how are you today ?
W: i am super swell , got home from a good day at work
I: oh what do you do for a living ?
W: i worl at my local petsmart , stocking heavy bags of food
I: so do you have any pets ?
W: yeah my dog lassie and my cat oliver
I: i do not have a pet but i do have a kid i think the world of
W: i am my dads world lol , he is a retired cop
I: that is cool . i am a kindergarten teacher
W: is your kid in your class ? that would be fun
I: no not yet she is a little to young
W: i love to go running , its my favorite passion . i wish i ran for a living
I: i am a bit of a fitness fanatic too in spite of my size .
W: something about sweating in public gets me pumped ya know ?
I: ok that is hilarious you win . i just like swimming
W: yeah swimming is really fun , works everything out
",1,"[5, 1, 1, 5, 5, 5, 4, 4, 3, 1, 5, 4, 4, 5, 1, 5]",2.5935404663,3.625,0.2563303178,26.1519815922
13,"I: hi , i am kera and i am a social butterfly
W: hi . i am more the mousy type . numbers are my world at my day job . you ?
I: i work for a tech firm , i am a tom girl
W: i am just an ohio mom with two amazing sons . not married though .
I: cool . i have no kids just my pet turtle timothy
W: great pet name . i do not have any pets unless you count my car , sally .
I: lol . . . so are you enjoy fall ? i love it
W: yep . the leaves change here and it is beautiful . i like to hike in fall .
I: i am ready to wear my jeans and boots
W: it is a great time of year for sure . do you have any hobbies ?
I: ultimate frisbee and making new friends . you ?
W: too busy with the boys for much besides hiking .
I: that means you are a good mom . spending all your time with them
W: being a single parent is not easy . thanks for the encouragement .
",1,"[5, 1, 1, 5, 5, 5, 5, 5, 3, 3, 5, 3, 5, 5, 1, 5]",2.2455907491,3.875,0.2164705618,27.4361178875
34,"I: hello , how are you tonight
W: i am fine and you
I: very well , thank you for asking . planning my garden for next year .
W: amazing fresh foods and veggies sounds yummy
I: they are , i will use my garden as a teaching environment too
W: awesome . tell me more about yourself
I: what do you do for a living ?
W: i work at the hospital in labor and delivery
I: that sounds so fun ! the little ones are so adorable .
W: i work around them so much i do not want none
I: i can understand that , as a few friends have said the same thing .
W: plus i work out in the gym 7days a week no time
I: i need to get back in the gym
W: its so much fun . i am single and alone so i use it to catch women
I: does that work ? because i avoid men at the gym
W: yes it does . it depends on the woman
",1,"[5, 1, 1, 5, 5, 5, 3, 3, 1, 3, 5, 2, 5, 4, 1, 5]",5.5767736741,3.375,0.3884956223,27.4192385674
26,"I: hi how are you today
W: hey there ! i am wonderful how are you doing today ?
I: pretty good do you work ?
W: i am a singer actually which can be work but i love it , how about you ?
I: i enjoy music too what kind
W: folk music , its kind of like storytelling . people dig it , you listen to music ?
I: i do how tall are you ?
W: i am average height , i am the shortest of my 3 sisters . you ?
I: i am only 5 ft tall
W: do you have any siblings ?
I: i do we have 4 people in our family
W: do you work ? or your parents work ?
I: i am currently in school
W: college ? studying anything in particular ?
I: general studies now . and you ?
W: just music right now , its pretty great . dad drove a semi , mom stayed home
",1,"[5, 1, 1, 5, 5, 5, 4, 5, 1, 1, 3, 3, 3, 5, 1, 4]",3.5698160986,3.25,0.3904244154,28.2180094719
17,"I: what music do you like , i enjoy bluegrass .
W: i prefer pop music . i try to stay up with the trends .
I: skateboarding is my job at times and i am still pretty good
W: you skateboard professionally ? wow , how exciting ! lots of travel ?
I: on weekends and i gave up eating potato chips to try to stay slim
W: what do you do for a living ?
I: retired now after my tailbone was removed due to a birth defect .
W: oh my , and i thought my life was dramatic ! do you have a family ?
I: pretty much alone now after leaving hollister where i worked in high school
W: love is hard and hurtful . alone is best , i have found .
I: you speak of things so true and thanks for the positive talk
W: my best friend betrayed me jerry springer style in high school and it still stings .
I: oh i am so sorry people need prayer
W: so very true . i try to focus on my education instead of my heartache .
",1,"[5, 1, 2, 5, 5, 5, 4, 5, 1, 3, 5, 1, 4, 5, 1, 3]",3.5714969212,3.4375,0.2142857143,28.3297560215
12,"I: good afternoon , how are you today ?
W: i am great . i am watching one tree hill . that is my favorite show
I: very cool . i am watching a video of my favorite band , simple plan .
W: is it the video where they are wearing purple ? best color ever
I: i was watching the other one actually .
W: the one at the hospital ? i am a nurse at a pediatric one
I: i work at the animal shelter downtown .
W: i do not believe in sheltering animals . i am a catholic
I: sadly they need a home . we work hard to find them one .
W: you could make them into a pizza . i love to eat pizza so i would buy
I: i doubt that would go over well .
W: why not ? it sounds like a good plan
I: normally i am a crabby person but i have a soft spot for animals .
W: i only like to eat animals . they look funny
",1,"[5, 1, 3, 5, 4, 3, 2, 4, 2, 1, 5, 1, 3, 3, 1, 5]",2.7022683191,3.0,0.2264554068,29.0210008621
